Categoria,Codigo categoria,Cursos,Codido Curso,Duracion (horas),Temas del Curso,A Quién Está Dirigido,Descripción del Curso,Lo que Aprenderás,
"Seguridad, Higiene y Ambiente",HSE,Planificacion para la Ejecución de Trabajo Seguro,HSE 116,24,"Introduccion?: ¿Cómo hemos llegado hasta aquí?
Comentarios recibidos de la empresa y cómo se ha implementado
Marco:  ¿Qué logrará el Marco de planificacion?
Un resumen detallado del Marco y su integración en el ciclo de  Gestión del Trabajo Seguro
Un resumen de los roles y actividades delineados dentro del Marco del Planificacion
Roles y responsabilidades: Un esquema detallado de los diferentes roles de planificacion
Resumen de las responsabilidades de cada rol
Recursos
","Todas las gerencias ejecutoras, tecnicas y SIHAO y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","El Marco Planificación para la Ejecución de Trabajo Seguro fue creado como una capa adicional al Ciclo de Gestión del Trabajo existente, con el objetivo de reducir lesiones graves y fatalidades en toda las Empresas Mixtas. Este marco estandariza las mejores prácticas en la planificación de trabajos de alto riesgo, define roles y responsabilidades claros, e integra de manera más efectiva la retroalimentación y las lecciones aprendidas, enfocándose en una ejecución segura para mejorar la seguridad.
Esta capacitación incluye herramientas detalladas para guiar y fortalecer la planificación para la ejecucion de trabajo seguro.","Esta capacitación está alineada con la normativa PDVSA de procedimientos de trabajo (SI-S-20), análisis de riesgo del trabajo (IR–S–17) y sistema de permisos de trabajo (IR-S-04). Esta proporcionará a los empleados de Operaciones, otras áreas y socios comerciales el conocimiento y los recursos necesarios para cumplir con sus responsabilidades dentro del Marco de Planificación para la Ejecución de Trabajo Seguro. Para más información sobre de Gestión del Trabajo, también está disponible las capacitaciones de prácticas de trabajo seguro. 

 ",
"Seguridad, Higiene y Ambiente",HSE,Operaciones simultaneas (SIMOPs),HSE 117,8,"Conceptos Básicos
Representante de Operaciones Simultáneas
¿Cuándo se necesita un Plan de Operaciones Simultáneas?
Ciclo de vida de SIMOPS
Documentación Requerida
Análisis de Peligros en la Fase de Planificación
Análisis de Riesgo en el Trabajo (ART)
Permisos de Trabajo
Plan de SimOps
Formato - Plan de Operaciones Simultáneas
Actividades que requieren un plan documentado de SimOps
Plan de Operaciones Simultáneas (Formato)
Registro (diario) de Operaciones Simultáneas (Formato)
Comunicación en SimOps
Controlador / Representante de Operaciones Simultáneas
Roles y Responsabilidades
Controlador del SIMOPs
Procedimiento de Operaciones Simultáneas
Flujograma de Operaciones Simultáneas
Matriz de Operaciones Simultáneas (Macollas) – Petropiar
Ejemplo de flujo de trabajo
Ejemplos de matrices SIMOPS
Guías para Compartir Espacios de Trabajo","Todas las gerencias ejecutoras, tecnicas y SIHAO y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","Las SIMOPS (operaciones simultáneas) son dos o más actividades realizadas por diferentes grupos que ocurren al mismo tiempo y que, debido a su proximidad, podrían impactarse entre sí. Los requisitos de SIMOPS están diseñados para gestionar posibles conflictos, riesgos y peligros mediante una planificación, comunicación y ejecución efectivas de dos o más actividades concurrentes en el mismo lugar, área de trabajo o flujo de proceso, donde existe el potencial de paradas no planificadas, lesiones al personal, daños a la propiedad e impactos ambientales adversos.","Comprender los requisitos de las SIMOPs, realizar, participar y evaluar las SIMOPs para garantizar que las operaciones se lleven a cabo sin lesiones, sin daños a la propiedad y sin impacto ambiental adverso, así como comprender su rol y responsabilidades dentro del Estándar de SIMOPs.",
Facilidades de superficie,FE1,Separadores,FE1 101,8,"Principios de funcionamiento?
Variables de proceso a controlar?
Salvaguardar típicas de estos sistemas?
Mantenimiento?
Tratadores y emulsiones","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","Este curso está diseñado para proporcionar a los participantes una comprensión integral sobre los separadores utilizados en la industria petrolera. Se abordan los principios de funcionamiento, las variables de proceso que deben controlarse, las salvaguardas típicas de estos sistemas, el mantenimiento adecuado y el manejo de tratadores y emulsiones. El contenido está orientado a profesionales de operaciones y mantenimiento que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","Al finalizar el curso, el participante será capaz de identificar los principios operativos de los separadores, controlar las variables clave del proceso, aplicar salvaguardas para garantizar la seguridad, realizar tareas de mantenimiento preventivo y correctivo, y gestionar tratadores y emulsiones de manera eficiente. Esto permitirá optimizar la operación y el mantenimiento de los sistemas, contribuyendo a la seguridad y eficiencia de las instalaciones.",
Facilidades de superficie,FE1,Tanques,FE1 102,8,"Tipos de tanques?
Salvaguardas para tanques de HC?
Seguridad?
Problemas comunes en los tanques?
Uso de tablas API?
Medición de tanques?
Medición automática de tanques ","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","Este curso está orientado a brindar a los participantes conocimientos fundamentales sobre los diferentes tipos de tanques utilizados en la industria petrolera. Se abordan temas como las salvaguardas para tanques de hidrocarburos, aspectos de seguridad, problemas comunes, el uso de tablas API y métodos de medición, incluyendo la medición automática de tanques. El contenido está dirigido a profesionales de operaciones y mantenimiento que requieren operar y mantener instalaciones de manera segura y eficiente.","Al finalizar el curso, el participante será capaz de identificar los distintos tipos de tanques y sus aplicaciones, aplicar salvaguardas y medidas de seguridad, reconocer y resolver problemas frecuentes, utilizar correctamente las tablas API y realizar mediciones precisas, tanto manuales como automáticas. Esto permitirá optimizar la gestión y el mantenimiento de los tanques, contribuyendo a la seguridad y eficiencia operativa.",
"Seguridad, Higiene y Ambiente",HSE,Excelencia Operacional Básico,HSE 101,40,"Conceptos básicos: Peligro, Riesgo, Acto y condicion insegura
Seguridad y Salvaguardas
Expectativas de Excelencia Operacional
Sentido de vulnerabilidad
Autoridad para detener el trabajo
Principios operacionales
Lista de Verificación para el Inicio del Trabajo (VIT)
Practicas de trabajo seguro
Rueda de identificación de peligros",Todos los trabajadores deben recibir este entrenamiento ,"Este curso está diseñado para introducir a los participantes en los conceptos fundamentales de la excelencia operacional en la industria petrolera. Se abordan temas clave como la identificación de peligros, la gestión de riesgos, las prácticas de trabajo seguro, el sentido de vulnerabilidad y la autoridad para detener el trabajo. El programa enfatiza la importancia de la seguridad de procesos y el cumplimiento de estándares internacionales, promoviendo una cultura de prevención y mejora continua.","El participante comprenderá los principios operacionales esenciales, aprenderá a identificar y gestionar peligros en el entorno laboral, aplicar prácticas de trabajo seguro y utilizar herramientas como la lista de verificación para el inicio del trabajo (VIT). Además, desarrollará competencias para fomentar una cultura de seguridad, reconocer situaciones de riesgo y ejercer la autoridad para detener actividades cuando sea necesario, contribuyendo al bienestar organizacional y a la excelencia operacional.",
Facilidades de superficie,FE1,Analisis de fallas de equipos rotativos,FE1 201,4,"Introducción al Análisis de Fallas
Tipos de Fallas en Equipos Rotativos
Técnicas de Análisis de Fallas
Análisis de Causa Raíz
Acciones Correctivas y Preventivas
Documentación e Informes","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","Este curso ofrece una visión integral sobre el análisis de fallas en equipos rotativos, abordando metodologías modernas para identificar causas raíz y prevenir paradas no programadas. A través de conceptos prácticos y casos reales, los participantes aprenderán a aplicar técnicas de diagnóstico, interpretar indicadores de condición y optimizar la confiabilidad operacional. Ideal para profesionales que buscan fortalecer sus competencias en mantenimiento predictivo y gestión de activos críticos.","Al finalizar el curso, podrás diagnosticar y prevenir fallas en bombas, compresores, ventiladores y otros equipos rotativos mediante un enfoque práctico y basado en datos. Aprenderás a interpretar señales de condición (vibración, temperatura, ruido, lubricación), identificar modos y causas raíz (desbalance, desalineación, holguras, cavitación, resonancia, defectos de rodamiento), y aplicar herramientas estructuradas de análisis (RCA, árbol de fallas, Pareto). Desarrollarás criterios para definir acciones correctivas y planes de mantenimiento predictivo, optimizarás la confiabilidad y disponibilidad de activos críticos, y establecerás indicadores (MTBF/MTTR, tasa de falla) y estándares de reporte que conecten los hallazgos del diagnóstico con decisiones operativas y de inversión.",
Facilidades de superficie,FE1,Valvulas de control,FE2 202,4,"Cálculos de Fugas de Válvulas de Control?
Solución de Problemas de Válvulas de Control?
Desempeño de Válvulas de Control
Aplicaciones Comunes en una Instalación de Producción de Petróleo y Gas?","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","El curso de Válvulas de control está diseñado para proporcionar a los participantes los conocimientos fundamentales sobre el funcionamiento, tipos y aplicaciones de las válvulas de control en instalaciones de petróleo y gas. Se abordan los principios de operación, procedimientos de mantenimiento preventivo y solución de problemas, así como el desempeño de estos equipos en contextos industriales.","Quienes completen este curso serán capaces de:
Comprender los principios de funcionamiento y las aplicaciones más comunes de las válvulas de control.
Identificar y aplicar procedimientos de mantenimiento preventivo.
Realizar cálculos de fugas y evaluar el desempeño de las válvulas.
Diagnosticar y resolver problemas operativos, optimizando la eficiencia y seguridad de los sistemas donde se emplean.",
Facilidades de superficie,FE1,Medidores,FE1 203,4,"Dimensionamiento
Solución de Problemas
Impacto de la Presencia de Gas
Unidades LACT","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","El curso de Análisis de Medidores está orientado a brindar conocimientos esenciales sobre el dimensionamiento, solución de problemas y el impacto de la presencia de gas en los sistemas de medición. Se abordan los principios de funcionamiento de los medidores, el manejo de unidades LACT y las mejores prácticas para garantizar mediciones precisas y confiables en instalaciones industriales.","
Dimensionar y seleccionar medidores adecuados para diferentes aplicaciones.
Identificar y resolver problemas comunes en sistemas de medición.
Analizar el impacto de la presencia de gas en la precisión de las mediciones.
Operar y mantener unidades LACT, asegurando la confiabilidad de los datos obtenidos.",
Facilidades de superficie,FE1,Mantenimiento de Motores Electricos,FE1 204,4,"Introducción al Mantenimiento de Motores Eléctricos?
Tipos de Motores Eléctricos?
Prácticas de Mantenimiento?
Soluciones de Problemas Comunes en los Motores?
Consideraciones de Seguridad","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","El curso de Mantenimiento de motores eléctricos está orientado a proporcionar los conocimientos fundamentales sobre los diferentes tipos de motores eléctricos, sus prácticas de mantenimiento y las soluciones a problemas comunes. Se abordan aspectos clave como la identificación de fallas, procedimientos de mantenimiento preventivo y consideraciones de seguridad para garantizar la operación eficiente y segura de los equipos.","Reconocer los distintos tipos de motores eléctricos y sus aplicaciones.
Aplicar prácticas de mantenimiento preventivo y correctivo.
Identificar y resolver problemas frecuentes en motores eléctricos.
Implementar medidas de seguridad durante la operación y el mantenimiento de los equipos.",
Operaciones de superficie,FE2,Confiabilidad,FE2 201,8,"Estrategias de mantenimiento centradas en enfoques preventivos y proactivos?
Técnicas para operadores en monitoreo de equipos, mantenimiento y mejora del rendimiento?
Consideraciones de seguridad y ambientales en la fiabilidad operativa?
Importancia de la recopilación y el análisis de datos para rastrear el rendimiento del equipo e identificar áreas de mejora?
¿Cómo implementar una cultura de mejora continua y resolución proactiva de problemas entre los operadores??
¿Cómo adaptarse a los cambios en las condiciones operativas e integrar nuevos equipos o tecnologías sin interrumpir los procesos existentes??
¿Cómo mantener un rendimiento consistente y minimizar la degradación o falla del equipo??
¿Cómo superar desafíos físicos como la visibilidad limitada, condiciones climáticas adversas y restricciones en el sitio en ciertas operaciones??
¿Cómo coordinar de manera efectiva con el equipo en tierra y otros miembros del equipo para asegurar seguridad y eficiencia??","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","El curso de Confiabilidad está enfocado en estrategias de mantenimiento preventivo y proactivo, técnicas para el monitoreo y mejora del rendimiento de equipos, y consideraciones de seguridad y ambientales en la operación industrial. Se abordan la importancia de la recopilación y análisis de datos, la implementación de una cultura de mejora continua y la coordinación efectiva entre equipos para asegurar la seguridad y eficiencia operacional.","Implementar estrategias de mantenimiento centradas en la prevención y la proactividad.
Utilizar técnicas de monitoreo y análisis de datos para identificar áreas de mejora en el rendimiento de equipos.
Adaptarse a cambios operativos e integrar nuevas tecnologías sin afectar procesos existentes.
Mantener un desempeño consistente y minimizar la degradación o falla de los equipos.
Superar desafíos físicos y coordinar eficazmente con el equipo para garantizar la seguridad y eficiencia.",
Operaciones de superficie,FE2,Bombas,FE1 202,4,"Tipos de Bombas?
Componentes y Diseño de Bombas?
Criterios de Selección de las Bombas?
Rendimiento y Operación de las Bombas?
Operación y Control de Bombas","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","El curso de Bombas está enfocado en el estudio de los diferentes tipos de bombas utilizadas en la industria, sus componentes y criterios de selección, así como el análisis de rendimiento y operación. Se abordan aspectos clave como la operación y control de bombas, permitiendo a los participantes comprender el funcionamiento y la eficiencia de estos equipos en entornos industriales.","Identificar los distintos tipos de bombas y sus componentes principales.
Aplicar criterios de selección adecuados para cada aplicación.
Evaluar el rendimiento y la eficiencia de las bombas.
Operar y controlar bombas de manera segura y eficiente, optimizando los procesos industriales.",
Operaciones de superficie,FE2,Digitalizacion,FE2 203,4,"Introducción a la Industria 4.0 y la Digitalización en Petróleo y Gas?
Sistemas Avanzados de Automatización y Control?
Gestión de Datos y Análisis para Equipos y Operaciones en Superficie","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","El curso de Digitalización introduce a los participantes en los conceptos clave de la Industria 4.0 y la transformación digital en el sector de petróleo y gas. Se exploran sistemas avanzados de automatización y control, así como la gestión y el análisis de datos para equipos y operaciones en superficie, permitiendo comprender cómo la tecnología optimiza procesos y mejora la eficiencia operacional.","Comprender los fundamentos de la digitalización y su impacto en la industria energética.
Identificar y aplicar sistemas avanzados de automatización y control.
Gestionar y analizar datos operativos para mejorar la toma de decisiones y la eficiencia de los equipos.
Reconocer oportunidades para implementar soluciones digitales que optimicen procesos industriales.",
Operaciones de superficie,FE2,Oleoductos,FE2 204,4,"Supervisión de construcción de oleoductos?
Salvaguardas críticas durante la construcción de oleoductos?
Problemas comunes y cómo resolverlos?
Mantenimiento e inspección de los oleoductos y líneas de producción.","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","El curso de Oleoductos está orientado a la supervisión de la construcción de oleoductos, abordando las salvaguardas críticas durante el proceso constructivo, los problemas comunes que pueden surgir y las mejores prácticas para su resolución. Además, se cubren aspectos clave sobre el mantenimiento e inspección de oleoductos y líneas de producción, asegurando la integridad y eficiencia operativa en la industria petrolera.","Supervisar eficazmente la construcción de oleoductos, identificando y aplicando salvaguardas críticas.
Reconocer y resolver problemas comunes durante la construcción y operación de oleoductos.
Implementar procedimientos de mantenimiento e inspección para garantizar la seguridad y confiabilidad de las líneas de producción.",
Operaciones de superficie,FE2,Arranque y Parada de Emergencia,FE2 205,4,"Arranque y Parada de Emergencia en Petróleo y Gas
Procedimientos de Arranque
Procedimientos de Parada de Emergencia
Integración de Procedimientos de Arranque y Parada
Evaluación de Riesgos","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","El curso de Arranque y Parada de Emergencia está orientado a proporcionar los conocimientos fundamentales sobre los procedimientos de arranque y parada de emergencia en operaciones de petróleo y gas. Se abordan los pasos críticos para la integración de procedimientos, la evaluación de riesgos y las mejores prácticas para garantizar la seguridad y la continuidad operativa en situaciones imprevistas.","Aplicar procedimientos seguros de arranque y parada de emergencia.
Integrar protocolos de emergencia en los procesos operativos.
Evaluar riesgos asociados y tomar decisiones informadas en situaciones críticas.
Contribuir a la protección de personas, equipos y medio ambiente durante eventos de emergencia.",
Seguridad de procesos,PSM,Principios de Seguridad de Procesos ,HSE 201,12,"Introducción
Propósito
Aplicación Específica
Eventos Significativos
Módulo I: Normas de Referencia
Módulo II: Definiciones y Terminologias
Módulo III: Identificación de Peligros y Evaluación de Riesgos
Módulo IV: Identificación de Peligros y Evaluación de Riesgos
Módulo V: Elementos de Gestión de Seguridad de Procesos","Operaciones,  mantenimiento y SIHAO","El curso de Principios de Seguridad de Procesos proporciona una visión integral sobre los fundamentos, normas y mejores prácticas para la gestión segura de procesos en la industria. Se abordan temas como la identificación de peligros, evaluación de riesgos, elementos clave de la gestión de seguridad de procesos y la aplicación de estándares internacionales, con el objetivo de fortalecer la cultura de seguridad y prevenir incidentes operacionales.","Comprender los conceptos y terminología esenciales de la seguridad de procesos.
Identificar peligros y evaluar riesgos en operaciones industriales.
Aplicar los elementos fundamentales de la gestión de seguridad de procesos.
Integrar normas y mejores prácticas para la prevención de incidentes y la mejora continua de la seguridad operacional.",
"Seguridad, Higiene y Ambiente",HSE,Supervision de Trabajos de Izamiento Mecánico,LIF 101,12,"Descripción General del Equipo
Preparación de Planes de Izamiento
Documentación y Ejecución ","Todas las gerencias ejecutoras, tecnicas y SIHAO y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","Este curso proporciona una visión integral sobre la supervisión de operaciones de izamiento mecánico en entornos industriales. Abarca desde la descripción general de los equipos utilizados, la preparación de planes de izamiento, hasta la documentación y ejecución segura de las maniobras. El enfoque está en la gestión de riesgos, el cumplimiento normativo y la aplicación de mejores prácticas para garantizar la seguridad y eficiencia en las actividades de izaje, dirigido a personal de operaciones, mantenimiento y áreas relacionadas.","El participante desarrollará competencias para identificar los equipos y accesorios adecuados para izamiento, planificar y supervisar maniobras críticas, aplicar criterios de descarte de equipos, gestionar riesgos asociados y documentar correctamente cada operación. Además, adquirirá herramientas para la toma de decisiones seguras y la implementación de salvaguardas, contribuyendo a la prevención de incidentes y al cumplimiento de estándares de seguridad industrial.",
"Seguridad, Higiene y Ambiente",HSE,Sistema de comando de incidentes (ICS),ICS 101,16,"Introducción al NIMS y SCI
Estructura Organizacional del SCI
Funciones principales
Roles gerenciales en el SCI
Manejo de Recursos y Comunicaciones
Coordinación de recursos bajo el SCI
Planificación de comunicaciones en incidentes
Planificación Estratégica
Manejo por objetivos y Plan de Acción del Incidente (PAI)
Ejercicio práctico: Definición de objetivos estratégicos
Comando Unificado y Coordinación Interinstitucional: Funcionamiento del Comando Unificado y Casos de estudio: Experiencias en la industria petrolera.
Transferencia de Mando y Conclusiones
Simulación de Incidente
Evaluación, experiencias y cierre","Todas las gerencias ejecutoras, tecnicas y SIHAO y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","Este curso está diseñado para capacitar al personal en la implementación y gestión del Sistema de Comando de Incidentes (SCI) en la industria petrolera. El programa aborda los principios fundamentales del SCI, su estructura organizacional, la coordinación de recursos y comunicaciones, la planificación estratégica y la gestión de incidentes. Se incluyen ejercicios prácticos y casos de estudio para fortalecer la toma de decisiones y la respuesta efectiva ante situaciones críticas.","El participante adquirirá conocimientos para aplicar el SCI en la gestión de emergencias, coordinar equipos multidisciplinarios, planificar acciones estratégicas y documentar incidentes. Además, desarrollará habilidades para liderar la respuesta inicial, transferir el mando de manera segura y evaluar lecciones aprendidas, contribuyendo a la mejora continua de la seguridad operacional.",
