Categoria,Codigo categoria,Cursos,Codido Curso,Duracion (horas),Temas del Curso,A Quién Está Dirigido,Descripción del Curso,Lo que Aprenderás,
"Seguridad, Higiene y Ambiente",HSE,Liderazgo,LW 101,16,"Expectativas
El estado actual de la seguridad en Latino América y en Venezuela
Sistemas, Escenarios de alto riesgo y definir las Salvaguardas
Qué es, cómo y cuándo se aplica la Autoridad para detener el Trabajo
 VIT
coaching tecnicas
Practicas de comunicacion ",Lideres de la Empresa Mixta,"Este curso de liderazgo está orientado a fortalecer las competencias de gestión y dirección en el sector petrolero. A través de un enfoque práctico, se abordan las expectativas del liderazgo, el estado actual de la seguridad en Latinoamérica y Venezuela, la gestión de escenarios de alto riesgo, la aplicación de salvaguardas y la autoridad para detener el trabajo. El programa incluye técnicas de coaching, prácticas de comunicación y herramientas para el desarrollo de líderes en empresas mixtas, promoviendo una cultura de excelencia operacional y seguridad.","El participante adquirirá habilidades para liderar equipos en entornos complejos, gestionar riesgos operacionales, aplicar criterios de seguridad y comunicación efectiva, y tomar decisiones responsables en situaciones críticas. Además, desarrollará competencias para implementar prácticas de liderazgo que contribuyan al bienestar organizacional y al cumplimiento de los estándares de seguridad industrial.",
"Seguridad, Higiene y Ambiente",HSE,Herramientas de Liderazgo en Excelencia Operacional,FS 101,40,"Cultura de OE, Autoridad Detener trabajo.
 Prácticas de Trabajo Seguro (PTS) 
Desempeño Humano Organizacional
Verificacióny Validación V&V/ Gestión de Excelencia Operacional de Contratistas
",Lideres de la Empresa Mixta,"Este curso está enfocado en el desarrollo de competencias de liderazgo orientadas a la excelencia operacional en la industria petrolera. El programa aborda la cultura de excelencia operacional, la autoridad para detener el trabajo, prácticas de trabajo seguro, desempeño humano organizacional y la gestión de contratistas. Se incluyen técnicas de verificación y validación, así como herramientas para fortalecer la gestión y el liderazgo en equipos de alto desempeño, promoviendo una cultura de seguridad y mejora continua.","El participante adquirirá habilidades para implementar prácticas de liderazgo que fomenten la excelencia operacional, gestionar equipos de manera efectiva, aplicar criterios de seguridad y comunicación, y utilizar herramientas de verificación y validación para asegurar el cumplimiento de estándares. Además, desarrollará competencias para liderar procesos de mejora continua y gestionar contratistas bajo criterios de excelencia.",
PDVSA Certificaciones,PDVCER,Control de fuentes de energia - LOTO,PDVCER 5,8,"MODULO I (Mañana)
Origen del control de fuente de energía (LOTO).
LOTO como herramienta de comunicacion.
Marco legal y normas aplicables.
Capas de protección.
Línea de tiempo.
Energía y tipos de energía peligrosas.
Términos y definiciones.
Roles y responsabilidades.
Reconocimiento de equipos, herramientas y materiales para la aplicación de LOTO.
Tipos de aislamiento y aseguramiento.
Instalación de dispositivos de aislamiento y aseguramiento (Secuencia).
Retiro de los dispositivos de aislamiento  y aseguramiento.
MODULO II (Tarde)
Ejercicios prácticos en aula para la aplicación de dispositivo de aislamiento y aseguramiento.
Eercicios en area operacional o simulador.
Evaluacinón de conocimientos teorica.","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.","Este curso está diseñado para certificar a los participantes en el control seguro de fuentes de energía mediante la aplicación de procedimientos de bloqueo y etiquetado (LOTO). Se abordan los fundamentos legales y normativos, los tipos de energía peligrosas, los dispositivos de aislamiento y aseguramiento, así como las responsabilidades y roles involucrados. El programa incluye ejercicios prácticos y simulaciones para garantizar la correcta implementación de LOTO en ambientes operacionales, promoviendo la seguridad y la prevención de accidentes laborales.","El participante aprenderá a identificar fuentes de energía peligrosas, seleccionar y aplicar dispositivos de aislamiento y aseguramiento, ejecutar procedimientos de bloqueo y etiquetado, y reconocer los roles y responsabilidades en el proceso LOTO. Además, desarrollará habilidades para realizar ejercicios prácticos en campo y evaluar el cumplimiento de los procedimientos, contribuyendo a la protección personal y colectiva en el entorno laboral.",
Facilidades de superficie,FE1,Combustión y Evaluación de Hornos,FE1 103,8,"Tipos de hornos?
Secciones del horno?
Combustión?
Quemadores?
Variables operacionales ?
Seguridad en los hornos?
Problemas Operacionales ?
Procedimiento a seguir para encender un horno?
Ejercicios","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Válvulas de control,FE1 104,8,"Introduccion?
Principios de funcionamiento de las válvulas de control?
Tipos de válvulas de control?
Procedimientos de mantenimiento preventivo de válvulas de control","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Compresores,FE1 105,8,"Sistema de Aire comprimido?
Compresores y sus aplicaciones?
Tipos de compresores?
Tratamiento del aire?
Salvaguarda compresores de aire comprimido?
Compresores de gas natural?
Compresores de simple y doble efecto?
Componentes de compresores reciprocantes?
Seguridad en las operaciones ?
Procedimiento de arranque?
Mantenimiento","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Operaciones de oleoductos,FE 106,4,"Vista general de tuberías?
Procedimiento para la trampa de lanzamiento y recepción de cochino.?
Flujo multifásico?
Mantenimiento de válvulas?
Problemas de integridad típicos?
Como identificar el rating de tuberías y su diseño","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Integridad de Activos y Ensayos No Destructivos,FE 107,4,"Fenómenos de Corrosión comunes y sus consecuencias.?
Importancia del RBI?
Falla de los materiales.?
Visión general de los END.
Tipos de END?
Selección de END.?
Estándares?
Integridad mecánica de equipos estáticos y rotativos.?
Inspección en marcha de equipos y en parada","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Instrumentacion,FE1 108,8,"Definición
Instrumentación
Variables
Lazo de control
Medición
Escalas
Factores de medición
Medidores
Simbología de instrumentación
Lectura de planos P&ID","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Operadores de produccion de Campo,FE 109,8,"Rol del operador
?Estabilización del crudo
?Manejo de Diluente en CPF??
Gas de servicio?
?Sistema de venteo??
Manejo de químicos?
Sistema de Control de Incendios?
Sistema de proporcionador de espuma?
Sistema de detección de fuego","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Corrosion y emisiones,FE110,4,"Corrosión ?
Mecanismos de protección ?
Fallas en los recubrimientos ?
Fuentes de emisiones","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Medidores de flujo,FE 111,4,"Medición de flujo?
Medición de tanques
Medición automática de tanques?
Medidores Coriolis?
Medidor de flujo de vórtice?
LACT","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Facilidades de superficie,FE1,Pruebas de pozos,FE112,4,"Introducción a las pruebas de pozos?
Rangos de presión en las pruebas de pozos
Colectores de prueba?
Separador de prueba?
Depuración?
Procedimiento/tiempos","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Operaciones de superficie,FE2,Bombas,FE2 101,8,"Tipos de bombas ?
Succión y descarga de las bombas
Bombas Booster?
Bombas de desplazamiento positivo?
Bombas centrífugas?
Principios de funcionamiento de las bombas.?
Parámetros de operación y control de bombas.?
Sistemas de seguridad para bombas?
Problemas comunes de bombas y soluciones?
Mantenimiento y cuidado de bombas","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Operaciones de superficie,FE2,Bombas: Mantenimiento,FE2 102,8,"Efectos de la cavitación
Erosión del material
Vibraciones
Ruidos y golpes
Disminución de la eficiencia
Comunicación entre turnos","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Operaciones de superficie,FE2,Mechurrios,FE2 103,8,"Principios de funcionamiento?
?Depurador del mechurrio?
Mechurrio y combustores??
Parámetros de operación y control?
Factores que afectan su desempeño?
Mantenimiento y Seguridad?
?Regulación Ambiental","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Operaciones de superficie,FE2,Variadores de Frecuencia (VFD),FE2 104,8,"Principios de funcionamiento
Campos de aplicación
Variables de control
Instalación y pruebas
Interpretación de resultados
Mantenimiento.?
Problemas y soluciones.","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Operaciones de superficie,FE2,Telemetria,FE2 105,8,"Telemetría?
?Operaciones de ductos
Aspectos claves?
PLC ?
Sistema SCADA (Supervisory Control And Data).?
Sistemas SCADA y los DCS.?
?Recolección de Datos?
Aplicaciones en La Industria de Oleoductos Y Gasoductos.?
Control de procesos","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Operaciones de superficie,FE2,Electricidad en Operaciones de Petróleo y Gas,FE2 106,4,"Introducción?
Fuentes de electricidad
Equipos Eléctricos?
Actividades peligrosas?
Torres eléctricas?
Clasificación de las áreas eléctricas?
Arco Eléctrico?
Mantenimiento adecuado?
Riesgos de electricidad viva","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Operaciones de superficie,FE2,Terminales de almacenamiento de crudo,FE2 107,4,"Operación de Terminales de Almacenamiento de Crudo?
Seguridad en el Almacenamiento de Petróleo?
Preocupaciones de Seguridad en Almacenamiento de Petróleo?
Medidas de Seguridad?
Impacto Ambiental del Almacenamiento de Petróleo Crudo?
Marco Regulatorio?
Mejores Prácticas para la Protección Ambiental","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Operaciones de superficie,FE2,Sistemas de gestión de quemadores (BMS),FE2 108,4,"Funcionamiento 
Navegacion
Introduccion a las pantallas del BMS
Vision general de los estados operativos","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Operaciones de superficie,FE2,Solucion de problemas se separadores,FE2 109,4,"Problemas de operacion del separador
Valvula de descarga atascada
Salida de fluidos por la linea de gas
Problemas comunes con la placa de orificio
Problemas comunes con el patín de soporte del compresor
Ventilación de tanques","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Operaciones de superficie,FE2,Principios de Corrosión,FE2 110,4,"Concepto de corrosion
Factores que afectan la corrosion
Principio de proteccion catodica
Estudios preliminares
Proteccion catodica
Anodos de sacrificio
Corriente impresa
Revestimiento y proteccion catodica
Bridas de aislacion y resistencia
Interferencia","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Subsuelo,SS,Sistemas de Levantamiento Artificial    (BES/BCP/BM),SS 101,8,"Introducción al Sistema de Levantamiento Artificial?
Bombeo Electrosumergible (BES)?
Bomba de Cavidad Progresiva (BCP)?
Bombeo Mecánico (BM / ROD PUMP)","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Subsuelo,SS,Optimizacion y Subsuelo (Diluyente),SS 102,4,"Diluent.
Injection rate adjustment
Monitoring of artificial lift systems.
 Preventive maintenance.","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Subsuelo,SS,Optimización y Subsuelo? (Monitoreo – Mantenimiento),SS 102,4,"Monitoreo de los Sistemas de Levantamiento Artificial. ??
Mantenimiento Preventivo y Correctivo de Sistemas de Levantamiento.","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Subsuelo,SS,Cabezales de Pozo,SS 103,8,"Revestidores?
Cabezal de pozo.?
Árbol de Navidad.?
Problemas Comunes & Soluciones ?
Cabezal de Rotación ?
.-Función ?
.-Mantenimiento
","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Subsuelo,SS,Conceptos Básicos de Química de Producción,SS 104,8,"Tipos de Químicos?
Almacenamiento?
Bombas Químicas?
Consideraciones Ambientales y Regulaciones?
Mantenimiento Preventivo","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Subsuelo,SS,Manejo de produccion de gas,SS 105,3,"Manejo de Gas desde el Pozo?
Influencia del Gas en la Producción?
Sistemas de Producción de Gas.?
Redes de Gas?
Ubicación de las Líneas de Gas.?
Fiscalización y Balanceo de Gas.?
Normativa.","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Subsuelo,SS,Exploración de Petróleo y Gas,SS106,4,"Introducción a la Exploración de Petróleo y Gas?
Métodos de Exploración de Petróleo y Gas?
Uso de los Datos de Exploración?
Exploración Sísmica?
Geología en la Producción de Hidrocarburos?
Perforación y Producción?
Gestión de Campos Maduros y Avances Tecnológicos?
Registros de Pozos y Evaluación de Formaciones","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Subsuelo,SS,Perforación?,SS 107,4,"Geología?
Registro de pozos?
Terminación de pozos?
Selección y degradación de materiales?
Visitas al sitio de operaciones","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Subsuelo,SS,Intervencion de pozos,SS 108,4,"Introducción a los reacondicionamientos?
Intervención de pozos y técnicas clave?
Métodos de diagnóstico para reacondicionamientos?
Plataformas de reacondicionamiento?
Reacondicionamientos sin plataforma?
Bombas de extracción","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Subsuelo,SS,Pruebas de pozos,SS 109,4,"Tipos de Pruebas de Pozos?
Manifolds?
Separadores?
Equipo de Prueba?
Datos","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
Subsuelo,SS,Introducción a la Ingeniería de Yacimientos,SS 110,4,"Conceptos básicos de ingeniería de reservorios
Incertidumbres en Producción
Perforación","Operaciones, mantenimiento y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
"Seguridad, Higiene y Ambiente",HSE,"Atmosferas peligrosas y Sulfuro de Hidrogeno (H2S), Espacios Confinados",HSE 102,4,"Presencia
Efectos sobre la salud
Caracteristicas
Proteccion respiratoria
Prueba de gas
Espacios confinados: Requisitos
Plan de rescate
","Operaciones,  mantenimiento, SIHAO  y otros profesionales que requieren conocimientos para operar y mantener las instalaciones de manera segura y eficaz.",,,
"Seguridad, Higiene y Ambiente",HSE,Análisis de riesgo en el trabajo (A.R.T) ,HSE 103,4,"Métodos de Análisis de Riesgo en el Trabajo (ART)
Metodología Norma PDVSA IR-S-17 
Proceso del Análisis de Riesgos en el Trabajo?
Responsabilidades
Anexo A
Actividad grupal","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Sistema de Permisos de Trabajo,HSE 103,2,"Objetivos
NORMA PDVSA IR-S-04
Conceptos Básicos?
Elementos del Sistema?
Definición de Permisos ""en Frío ó en Caliente“","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Aislamiento de energías peligrosas - Bloqueo y etiquetado (LOTO),HSE 104,4,"Proceso de Control de Fuentes de Energía (LOTO) 
Conceptos Básicos?
Tipos de Dispositivos Bloqueo
Roles y responsabilidades
Componentes Claves","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Trabajo en altura: escaleras y andamios y uso de arnes,HSE 105,5,"Seguridad en Escaleras Portatiles, Fijas
Roles y responsabilidades
Riesgos comunes
Sistemas de proteccion
Anclajes
Caida Libre
VIT
Inspeccion
Andamios: tipos, partes, condiciones, montaje","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Salvaguardas ,HSE 105,2,"Concepto
Bow Tie
Modelo queso suizo
Tipos de salvaguardas
Actividad grupal","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Trabajo eléctricos energizados y desenergizado,HSE 106,4,"Principios basicos
Roles y responsabilidades
Certificados
Requisitos
VIT
Caso estudio","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Trabajo en caliente,HSE 107,2.5,"Conceptos Básicos?
Normativa PDVSA
Trabajo en Caliente con Llama Abierta y No Abierta
Areas clasificadas
Prueba de gas
Certificados para Trabajos Especiales","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Excavación,HSE 108,4,"Excavación vs Zanja?
Estándares de excavación de OSHA?
Tipos de excavaciones?
Ubicación de líneas
Preparación de la excavación para la entrada?","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Izamiento de Cargas,HSE 109,4,"Tipos
Equipos y Accesorios para Izaje de Cargas
Documentos requeridos?
VIT 
Requisitos de Levantamiento y Aparejamiento?
Plan de Comunicación?
Mitigaciones de Riesgos?","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,HOP,HSE 110,1,"Conceptos 
Principios HOP?",Todos,,,
"Seguridad, Higiene y Ambiente",HSE,Protección auditiva y golpe de calor,HSE 111,2,"Efectos del ruido
Fuentes de ruido
Tipos de Protección Auditiva
Niveles de ruido
Efectos Físicos y Mentales
Índice de Calor
Mantenerse Seguro en el Calor",Todos,,,
"Seguridad, Higiene y Ambiente",HSE,Reducción de huella de Carbono,HSE 112,2,"Protocolo de Kyoto??
Gases Efecto Invernadero (GEI)?
¿Qué son?, ¿Cuáles son??
Calentamiento global y cambio climático?
GEI detalles y características?
¿Qué debe reportarse??
Términos y definiciones??
Fuentes de GEI en la industria?
Consejos para reducir emisiones CO2",Todos,,,
"Seguridad, Higiene y Ambiente",HSE,Primeros Auxilios,HSE 113,3,"Introducción/conceptos básicos
Emergencias respiratorias
Emergencias por asfixia
Emergencias del sistema nervioso
Picaduras, extintores
Emergencias del sistema nervioso",Todos,,,
"Seguridad, Higiene y Ambiente",HSE,Manejo de desechos,HSE 114,1,"Tipos de Residuos: Introducción?
Residuos Peligrosos?
Almacenamiento y Eliminación?
Etiquetado de Residuos?","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Seguridad vehicular en el campo (MVS) ,HSE 115,4,"Seguridad del Conductor
Manejo de Fatiga
Seguridad en Vehículos Pesados",Todos,,,
Seguridad de procesos,PSM,Seguridad de Procesos para Operacion,HSE 202,8,"Identificación y Evaluación de Riesgos?
Especificación de Barreras?
Identificación de Tareas Críticas?
Manejo del Cambio (MOC)?
Roles y Responsabilidades?
Inspección Basada en Riesgos (RBI)?
Gestión de la Corrosión?
Gestión de la Integridad de Oleoductos?
Desarrollo de Programa de Integridad Mecánica?
Análisis de Confiabilidad, Disponibilidad y Mantenibilidad (RAM)",Operaciones,,,
Seguridad de procesos,PSM,Seguridad de Procesos para Mantenimiento,HSE 203,8,"Inspecciones y Pruebas (ITPM)?
Integridad de Activos?
Desarrollo de un Programa de Integridad Mecánica?
Desarrollo de Programas para Tuberías de Alta Energía?
Fundamentos de Ingeniería Forense?
Mecánica de la Fractura: Fundamentos y Aplicaciones?
Ensayo No Destructivo (NDT) para Gerentes?
Gestión de Integridad de Activos e Inspección Basada en el Riesgo?
Capacidad Operativa (FFS) para la Integridad de Tuberías de Petróleo y Gas",Mantenimiento,,,
Seguridad de procesos,PSM,Seguridad de Procesos para HSE,HSE 204,4,"Revisión de Seguridad Previa al Inicio (PSSR)?
Procedimientos Operativos",SIHAO,,,
"Seguridad, Higiene y Ambiente",HSE,Investigacion de Accidentes,HSE 205,4,"Causa raíz
¿Qué pasaría si...?
Cadena de comunicación y registro de incidentes
Identificación e investigación de incidentes
Acciones de mejora y lecciones aprendidas","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Sistema de comando de incidentes (ICS),HSE 206,4,"Sistema de Comando de Incidentes en Petróleo y Gas?
Implementación del Sistema de Comando de Incidentes?
Sistema de Comando de Incidentes en la Práctica?
Beneficios del Sistema de Comando de Incidentes","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Arco Electrico,IHE 101,6,"¿Qué es un Arco Eléctrico??
Elementos de Protección Personal para Trabajar Expuesto a Arco Eléctrico?
Plan de Emergencia?
Acciones Mitigativas cuando se Trabaja con Arco Eléctrico?
Puntos clave a reforzar?
","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Electricista calificado,IHE 101,16,"Estándares de Trabajo Seguro en la Industria Eléctrica
Dos Estándares Eléctricos Aplicados (Prácticas Reconocidas)
Peligros asociados con la Electricidad
Interacción con Equipos Eléctricos
Trabajo Eléctrico Seguro
Política de Líneas Eléctricas Aéreas","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Supervisión de Trabajos en Altura,HSE 118,Por definir,"•	Planeación
•	Calculo de Espacio de Caída Libre
•	Metodología para Inspección de armado de andamios
•	Criterio de descarte de equipo y accesorios para trabajos en Altura
•	Auto rescate
•	Gestión de Riesgos y Salvaguardas para trabajos en Altura
•	Otros","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Supervisión de Trabajos de excavación,HSE 119,Por definir,"•	Planeación
•	Sistemas de protección para la excavación
•	Diseño y Conformación de Taludes
•	Inspección de áreas para excavación, uso de detectores
•	Determinación de zonas de exclusión
•	Gestión de Riesgos y Salvaguardas para Excavación
•	Verificación de resistencia del suelo
•	Otros","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Primeros Auxilios Nivel 2,HSE 120,Por definir,"•	Signos vitales
•	RCP
•	Manejo de Pacientes Politraumatizados
•	Triaje
•	Extricación
•	Inmovilización y Traslado
•	Otros","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Supervisión de Trabajos eléctricos,HSE 121,Por definir,"•	Reglas de Oro 
•	Criterios de desenergizado y Aislamiento
•	Gestion de Emergencias Eléctricas
•	Planeacion","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Supervisión de Trabajos en espacios confinados,HSE 122,Por definir,"•	Medición de Atmosferas 
•	Planeación
•	Métodos de trabajo 
•	Recursos
•	Análisis de quipos de respiración y suplidores de aire","Operaciones,  mantenimiento y SIHAO",,,
"Seguridad, Higiene y Ambiente",HSE,Gestión de Riesgos Nivel 2,HSE 123,Por definir,"•	Gestión de Peligros y Riesgos
•	Clasificación de Áreas 
•	Equipos de detección y medición
•	Análisis de Salvaguardas (Bow Tie)
•	Jerarquía de Controles
•	Otros","Operaciones,  mantenimiento y SIHAO",,,
PDVSA Certificaciones,PDVCER,Combo SIHOA (Evaluación de Atmósferas Peligrosas),PDVCER 1,16,,,,,
PDVSA Certificaciones,PDVCER,Combo SIHOA (Espacios confinados),PDVCER 2,8,,,,,
PDVSA Certificaciones,PDVCER,Combo SIHOA (Sistema de permisos de trabajo),PDVCER 3,16,,,,,
PDVSA Certificaciones,PDVCER,Seguridad en la conducción de vehículos,PDVCER 4,16,,,,,
PDVSA Certificaciones,PDVCER,Manejo seguro del sulfuro de hidrogeno – H2S,PDVCER 6,8,,,,,
